id,exercise_name,video_link,video_explanation,expereince_level,target_muscle,primary_muscle,secondary_muscle,category,laterality,exercise_classification,inserted_at,equipment
8476,Kettlebell Goblet Pistol Squat,https://youtu.be/JS5HxlkWZzU?si=gKhPydrLwgHeGTcO,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Balance,2025-08-10 01:02:45.779018+00,Kettlebell
8477,Kettlebell Horn Grip Alternating Pistol Squat,https://youtu.be/WGCrIXBHteQ?si=lcLSwZ_90St3r6W4,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Lower Body,Unilateral,Balance,2025-08-10 01:02:45.779018+00,Kettlebell
8478,Single Arm Dumbbell Bent Press,https://youtu.be/4cCItXCsEDo?si=xrvm1LxY3e8jhStd,https://youtu.be/XuCIox7PkwE?si=inxKBdmuWIacD8Yw,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Full Body,Unilateral,Grinds,2025-08-10 01:02:45.779018+00,Dumbbell
8479,Single Arm Dumbbell Half Kneeling Bent Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Full Body,Unilateral,Grinds,2025-08-10 01:02:45.779018+00,Dumbbell
8480,Double Dumbbell Seated Zottman Curl,https://youtu.be/FG6Y_r6-DJM?si=2qExXvynTbOnna2u,,Beginner,Biceps,Biceps Brachii,Brachioradialis,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8481,Cable Straight Bar Tricep Pushdown,https://youtu.be/LXkCrxn3caQ?si=24dygODdgdRhEqJK,https://youtu.be/zEHmnpgi-dg?si=gojDTRhS6wpAdM5x,Beginner,Triceps,Triceps Brachii,Anconeus,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Cable
8482,Cable Straight Bar Reverse Grip Tricep Pushdown,https://youtu.be/GqK6WrZEyEk?si=JPCXXCLg2YG3rQa7,https://youtu.be/h0AMOYndGRM?si=nfOvCEAtMNcYKbiq,Beginner,Triceps,Triceps Brachii,,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Cable
8483,Alternating Double Dumbbell Zottman Curl,https://youtu.be/2IBxr91kSI8?si=NutPVlDJSpcDczLP,,Beginner,Biceps,Biceps Brachii,Brachioradialis,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8484,Alternating Double Dumbbell Seated Zottman Curl,https://youtu.be/GIGFFYAKG6M?si=5QEN9x3BJwkxTal7,,Beginner,Biceps,Biceps Brachii,Brachioradialis,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8485,Dumbbell Crush Grip Tall Kneeling Overhead Tricep Extension,https://youtu.be/9kib4kUJJ1A?si=KTQ4D8iMokjT6LqW,https://youtu.be/17n2BnYVepk?si=b5hRitIQziFVau-P,Beginner,Triceps,Triceps Brachii,Anterior Deltoids,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8486,Single Arm Dumbbell Overhead Press,https://youtu.be/156_Z9969FQ?si=bmP-isrzfk-iAjdj,https://youtu.be/PWQ9xEVNwkQ?si=SHzV3BeE62Ue0pG6,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8487,Single Arm Dumbbell Seated Overhead Press,https://youtu.be/9DB2kibw0os?si=-BYlQ8gHAlszJaDo,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8488,Double Dumbbell Seated Bicep Curl,https://youtu.be/40w4sx4FAVU?si=i0K5ruXclQupBuxc,https://youtu.be/BsULGO70tcU?si=1kniO7BjerK_8SmQ,Beginner,Biceps,Biceps Brachii,Brachialis,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8489,Double Dumbbell Incline Bench Zottman Curl,https://youtu.be/o9w3-CMPRxQ?si=nSVQxRbx2GvgZi-u,,Beginner,Biceps,Biceps Brachii,Brachioradialis,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8490,Alternating Double Dumbbell Incline Bench Zottman Curl,https://youtu.be/Xakexn9Y5Oo?si=YY664vMjXBLBT2Ha,,Beginner,Biceps,Biceps Brachii,Brachioradialis,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8491,Alternating Double Dumbbell Seated Overhead Press,https://youtu.be/Z4fmeY-GQ8o?si=jZD1QoPzdXBx4Hd8,,Beginner,Shoulders,Anterior Deltoids,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Dumbbell
8492,Double Kettlebell Floor Press,https://youtu.be/GC0TS5XuuAA?si=1gRhkWItRmgaTYmb,https://youtu.be/1_-ECzAoCoY?si=gB243CJHNOnav7gA,Beginner,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Bilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
8493,Single Arm Kettlebell Floor Press,https://youtu.be/P_ijh09h23s?si=U9pK9AQYG1xx2yxE,https://youtu.be/B340QckIfJM?si=YLrQG5Gul0_HHm8D,Beginner,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Unilateral,Bodybuilding,2025-08-10 01:02:45.779018+00,Kettlebell
